# kind	code	name	coordinate	profile_context
reject	1	malformed_request	gcreq_byte	unselected|1|2
reject	2	unknown_profile	gcreq_byte	unselected
reject	3	invalid_source_byte	gamma_source_byte	1|2
reject	4	invalid_syntax	gamma_source_byte	1|2
reject	5	integer_literal_out_of_range	gamma_source_byte	1|2
reject	6	duplicate_type	gamma_source_byte	1|2
reject	7	duplicate_constructor	gamma_source_byte	1|2
reject	8	duplicate_function	gamma_source_byte	1|2
reject	9	active_local_conflict	gamma_source_byte	1|2
reject	10	duplicate_pattern	gamma_source_byte	1|2
reject	11	unknown_type	gamma_source_byte	1|2
reject	12	unknown_constructor	gamma_source_byte	1|2
reject	13	unknown_function	gamma_source_byte	1|2
reject	14	unknown_local	gamma_source_byte	1|2
reject	15	type_mismatch	gamma_source_byte	1|2
reject	16	arity_mismatch	gamma_source_byte	1|2
reject	17	duplicate_match_case	gamma_source_byte	1|2
reject	18	nonexhaustive_match	gamma_source_byte	1|2
reject	19	missing_entry	none	1|2
reject	20	entry_schema_mismatch	gamma_source_byte	1|2
reject	21	profile_schema_mismatch	none|gamma_source_byte	2
incomplete	1	source_bytes	gcreq_byte	1|2
incomplete	2	type_rows	gamma_source_byte	1|2
incomplete	3	constructor_rows	gamma_source_byte	1|2
incomplete	4	function_rows	gamma_source_byte	1|2
incomplete	5	environment_rows	gamma_source_byte	1|2
incomplete	6	coverage_rows	gamma_source_byte	1|2
incomplete	7	syntax_arena_bytes	gamma_source_byte	1|2
incomplete	8	parse_depth	gamma_source_byte	1|2
incomplete	9	live_local_slots	gamma_source_byte	1|2
incomplete	10	label_rows	internal_row	1|2
incomplete	11	fixup_rows	internal_row	1|2
incomplete	12	payload_bytes	emitted_payload_byte	1|2
internal	1	retained_frontend_contradiction	internal_row	1|2
internal	2	emission_metadata_contradiction	internal_row	1|2
internal	3	label_or_fixup_contradiction	internal_row	1|2
internal	4	payload_replay_mismatch	emitted_payload_byte	1|2
internal	5	adapter_construction_contradiction	internal_row	1|2
internal	6	publication_contradiction	emitted_payload_byte	1|2
